Time (s),Ay (m/s²),Fᵧ (N)
9.479999542236328,-13.953017234802246,-0.6769781708717346
9.489999771118164,-14.123933792114258,-0.7406724095344543
9.5,-14.316527366638184,-0.7588707804679871
9.510000228881836,-14.493134498596191,-0.7952675223350525
9.520000457763672,-14.60545539855957,-0.8134658932685852
9.529999732971191,-14.703457832336426,-0.8407634496688843
9.539999961853027,-14.735207557678223,-0.8498626351356506
9.550000190734863,-14.772085189819336,-0.858961820602417
9.5600004196167,-14.751288414001465,-0.8680609464645386
9.569999694824219,-14.703816413879395,-0.858961820602417
9.579999923706055,-14.62885856628418,-0.858961820602417
9.59000015258789,-14.543408393859863,-0.8407634496688843
9.600000381469727,-14.413095474243164,-0.8316642642021179
9.609999656677246,-14.23473834991455,-0.8043667078018188
9.619999885559082,-14.075042724609375,-0.7770691514015198
9.630000114440918,-13.882428169250488,-0.7406724095344543
9.640000343322754,-13.597439765930176,-0.7042757272720337
9.649999618530273,-13.351795196533203,-0.6496806144714355
9.65999984741211,-13.059688568115234,-0.6041847467422485
9.670000076293945,-12.779955863952637,-0.5495896339416504
9.680000305175781,-12.48921012878418,-0.49499452114105225
9.6899995803833,-12.189248085021973,-0.4403994679450989
9.699999809265137,-11.86319637298584,-0.37670519948005676
9.710000038146973,-11.504524230957031,-0.3039117455482483
9.720000267028809,-11.104555130004883,-0.24931666254997253
9.729999542236328,-10.742081642150879,-0.17652322351932526
9.739999771118164,-10.368916511535645,-0.09463059157133102
9.75,-9.948843955993652,-0.04003550484776497
9.760000228881836,-9.526870727539062,0.023658759891986847
9.770000457763672,-9.13596248626709,0.09645220637321472
9.779999732971191,-8.753820419311523,0.16014647483825684
9.789999961853027,-8.349834442138672,0.2329399138689041
9.800000190734863,-7.990905284881592,0.3057333528995514
9.8100004196167,-7.62400484085083,0.36032843589782715
9.819999694824219,-7.2596940994262695,0.4149235188961029
9.829999923706055,-6.944755554199219,0.478617787361145
9.84000015258789,-6.647592067718506,0.5423120856285095
9.850000381469727,-6.346652030944824,0.5969071388244629
9.859999656677246,-6.090388298034668,0.6424030661582947
9.869999885559082,-5.865784168243408,0.6787998080253601
9.880000114440918,-5.666876792907715,0.7333948612213135
9.890000343322754,-5.480531215667725,0.7697916030883789
9.899999618530273,-5.317014217376709,0.8061883449554443
9.90999984741211,-5.190613746643066,0.8243866562843323
9.920000076293945,-5.098260879516602,0.842585027217865
9.930000305175781,-5.038899898529053,0.8516842126846313
9.9399995803833,-4.98926305770874,0.8698825836181641
9.949999809265137,-4.992085933685303,0.8698825836181641
9.960000038146973,-5.011719226837158,0.8789817690849304
9.970000267028809,-5.036108016967773,0.8698825836181641
9.979999542236328,-5.110028266906738,0.8516842126846313
9.989999771118164,-5.232216835021973,0.842585027217865
10,-5.385747909545898,0.8152875304222107
10.010000228881836,-5.535109519958496,0.8061883449554443
10.020000457763672,-5.733397483825684,0.7697916030883789
10.029999732971191,-5.92995548248291,0.7333948612213135
10.039999961853027,-6.175108432769775,0.7060973048210144
10.050000190734863,-6.433318138122559,0.651502251625061
10.0600004196167,-6.745465278625488,0.5878079533576965
10.069999694824219,-7.028974533081055,0.5423120856285095
10.079999923706055,-7.351166725158691,0.4877169728279114
10.09000015258789,-7.696714401245117,0.4331218898296356
10.100000381469727,-8.0436429977417,0.36032843589782715
10.109999656677246,-8.405022621154785,0.28753501176834106
10.119999885559082,-8.802882194519043,0.2329399138689041
10.130000114440918,-9.17895793914795,0.16014647483825684
10.140000343322754,-9.577155113220215,0.09645220637321472
10.149999618530273,-10.012117385864258,0.03275793790817261
10.15999984741211,-10.423526763916016,-0.04003550484776497
10.170000076293945,-10.805855751037598,-0.11282894760370255
10.180000305175781,-11.196382522583008,-0.17652322351932526
10.1899995803833,-11.555580139160156,-0.2584158480167389
10.199999809265137,-11.951998710632324,-0.31301093101501465
10.210000038146973,-12.285886764526367,-0.37670519948005676
10.220000267028809,-12.607340812683105,-0.4313002824783325
10.229999542236328,-12.865094184875488,-0.49499452114105225
10.239999771118164,-13.137535095214844,-0.5495896339416504
10.25,-13.416436195373535,-0.5950855612754822
10.260000228881836,-13.670392036437988,-0.6496806144714355
10.270000457763672,-13.90211009979248,-0.6769781708717346
10.279999732971191,-14.057225227355957,-0.7224740982055664
10.289999961853027,-14.225485801696777,-0.7497715950012207
10.300000190734863,-14.352036476135254,-0.7770691514015198
10.3100004196167,-14.46097469329834,-0.8043667078018188
10.319999694824219,-14.540971755981445,-0.8134658932685852
10.329999923706055,-14.600110054016113,-0.8225650787353516
10.34000015258789,-14.630474090576172,-0.8407634496688843
10.350000381469727,-14.629806518554688,-0.8407634496688843
10.359999656677246,-14.627490997314453,-0.8225650787353516
10.369999885559082,-14.5689697265625,-0.8225650787353516
10.380000114440918,-14.499674797058105,-0.8134658932685852
10.390000343322754,-14.375526428222656,-0.7861683368682861
10.399999618530273,-14.218267440795898,-0.7770691514015198
